adduser	3.134
libfreetype6-dev:arm64	2.12.1+dfsg-5+deb12u4
libfribidi0:arm64	1.0.8-2.1
libgc1:arm64	1:8.2.2-3
libgcc-12-dev:arm64	12.2.0-14+deb12u1
libgcc-s1:arm64	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3+deb12u1
libgdbm-compat4:arm64	1.23-3
libgdbm-dev:arm64	1.23-3
libgdbm6:arm64	1.23-3
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf-2.0-dev:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgirepository-1.0-1:arm64	1.74.0-3
libglib2.0-0:arm64	2.74.6-2+deb12u9
libglib2.0-bin	2.74.6-2+deb12u9
libglib2.0-data	2.74.6-2+deb12u9
libglib2.0-dev:arm64	2.74.6-2+deb12u9
libglib2.0-dev-bin	2.74.6-2+deb12u9
libgmp-dev:arm64	2:6.2.1+dfsg1-1.1
libgmp10:arm64	2:6.2.1+dfsg1-1.1
libgmpxx4ldbl:arm64	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u7
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgprofng0:arm64	2.40-2
libgraphite2-3:arm64	1.3.14-1+deb12u1
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5
libgssrpc4:arm64	1.20.1-2+deb12u5
libharfbuzz0b:arm64	6.0.0+dfsg-3
libheif1:arm64	1.15.1-1+deb12u1
libhogweed6:arm64	3.8.1-2
libhwasan0:arm64	12.2.0-14+deb12u1
libice-dev:arm64	2:1.0.10-1
libice6:arm64	2:1.0.10-1
libicu-dev:arm64	72.1-3+deb12u1
libicu72:arm64	72.1-3+deb12u1
libidn2-0:arm64	2.3.3-1+b1
libimath-3-1-29:arm64	3.1.6-1
libimath-dev:arm64	3.1.6-1
libisl23:arm64	0.25-1.1
libitm1:arm64	12.2.0-14+deb12u1
libjansson4:arm64	2.14-2
libjbig-dev:arm64	2.1-6.1
libjbig0:arm64	2.1-6.1
libjpeg-dev:arm64	1:2.1.5-2
libjpeg62-turbo:arm64	1:2.1.5-2
libjpeg62-turbo-dev:arm64	1:2.1.5-2
libjsoncpp25:arm64	1.9.5-4
libk5crypto3:arm64	1.20.1-2+deb12u5
libkadm5clnt-mit12:arm64	1.20.1-2+deb12u5
libkadm5srv-mit12:arm64	1.20.1-2+deb12u5
libkdb5-10:arm64	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2
libkrb5-3:arm64	1.20.1-2+deb12u5
libkrb5-dev:arm64	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5
libksba8:arm64	1.6.3-2
liblcms2-2:arm64	2.14-2+deb12u1
liblcms2-dev:arm64	2.14-2+deb12u1
libldap-2.5-0:arm64	2.5.13+dfsg-5
liblerc-dev:arm64	4.0.0+ds-2
liblerc4:arm64	4.0.0+ds-2
libllvm14:arm64	1:14.0.6-12
liblqr-1-0:arm64	0.4.2-2.1
liblqr-1-0-dev:arm64	0.4.2-2.1
liblsan0:arm64	12.2.0-14+deb12u1
libltdl-dev:arm64	2.4.7-7~deb12u1
libltdl7:arm64	2.4.7-7~deb12u1
liblz4-1:arm64	1.9.4-1
liblzma-dev:arm64	5.4.1-1+deb12u1
liblzma5:arm64	5.4.1-1+deb12u1
liblzo2-2:arm64	2.10-2
libmagic-mgc	1:5.44-3
libmagic1:arm64	1:5.44-3
libmagickcore-6-arch-config:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickcore-6-headers	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickcore-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickcore-6.q16-6-extra:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickcore-6.q16-dev:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickcore-dev	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickwand-6-headers	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickwand-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickwand-6.q16-dev:arm64	8:6.9.11.60+dfsg-1.6+deb12u13
libmagickwand-dev	8:6.9.11.60+dfsg-1.6+deb12u13
libmariadb-dev	1:10.11.18-0+deb12u1
libmariadb-dev-compat	1:10.11.18-0+deb12u1
libmariadb3:arm64	1:10.11.18-0+deb12u1
libmaxminddb-dev:arm64	1.7.1-1
libmaxminddb0:arm64	1.7.1-1
libmd0:arm64	1.0.4-2
libmount-dev:arm64	2.38.1-5+deb12u3
libmount1:arm64	2.38.1-5+deb12u3
libmpc3:arm64	1.3.1-1
libmpfr6:arm64	4.2.0-1
libncurses-dev:arm64	6.4-4
libncurses5-dev:arm64	6.4-4
libncurses6:arm64	6.4-4
libncursesw5-dev:arm64	6.4-4
libncursesw6:arm64	6.4-4
libnettle8:arm64	3.8.1-2
libnghttp2-14:arm64	1.52.0-1+deb12u3
libnpth0:arm64	1.6-3
libnsl-dev:arm64	1.3.0-2
libnsl2:arm64	1.3.0-2
libnuma1:arm64	2.0.16-1
libobjc-12-dev:arm64	12.2.0-14+deb12u1
libobjc4:arm64	12.2.0-14+deb12u1
libopenexr-3-1-30:arm64	3.1.5-5
libopenexr-dev	3.1.5-5
libopenjp2-7:arm64	2.5.0-2+deb12u3
libopenjp2-7-dev:arm64	2.5.0-2+deb12u3
libp11-kit0:arm64	0.24.1-2
libpam-modules:arm64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g:arm64	1.5.2-6+deb12u2
libpango-1.0-0:arm64	1.50.12+ds-1
libpangocairo-1.0-0:arm64	1.50.12+ds-1
libpangoft2-1.0-0:arm64	1.50.12+ds-1
libpcre2-16-0:arm64	10.42-1
libpcre2-32-0:arm64	10.42-1
libpcre2-8-0:arm64	10.42-1
libpcre2-dev:arm64	10.42-1
libpcre2-posix3:arm64	10.42-1
libperl5.36:arm64	5.36.0-7+deb12u3
libpixman-1-0:arm64	0.42.2-1
libpixman-1-dev:arm64	0.42.2-1
libpkgconf3:arm64	1.8.1-1
libpng-dev:arm64	1.6.39-2+deb12u5
libpng16-16:arm64	1.6.39-2+deb12u5
libpq-dev	15.18-0+deb12u1
libpq5:arm64	15.18-0+deb12u1
libproc2-0:arm64	2:4.0.2-3
libpsl5:arm64	0.21.2-1
libpthread-stubs0-dev:arm64	0.4-1
libpython3-stdlib:arm64	3.11.2-1+b1
libpython3.11-minimal:arm64	3.11.2-6+deb12u8
libpython3.11-stdlib:arm64	3.11.2-6+deb12u8
libreadline-dev:arm64	8.2-1.3
libreadline8:arm64	8.2-1.3
librhash0:arm64	1.4.3-3
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1
librsvg2-common:arm64	2.54.7+dfsg-1~deb12u1
librsvg2-dev:arm64	2.54.7+dfsg-1~deb12u1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2:arm64	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libselinux1-dev:arm64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:arm64	3.4-1+b5
libsepol-dev:arm64	3.4-2.1
libsepol2:arm64	3.4-2.1
libserf-1-1:arm64	1.3.9-11
libsm-dev:arm64	2:1.2.3-1
libsm6:arm64	2:1.2.3-1
libsmartcols1:arm64	2.38.1-5+deb12u3
libsqlite3-0:arm64	3.40.1-2+deb12u2
libsqlite3-dev:arm64	3.40.1-2+deb12u2
libss2:arm64	1.47.0-2+b2
libssh2-1:arm64	1.10.0-3+b1
libssl-dev:arm64	3.0.20-1~deb12u2
libssl3:arm64	3.0.20-1~deb12u2
libstdc++-12-dev:arm64	12.2.0-14+deb12u1
libstdc++6:arm64	12.2.0-14+deb12u1
libsvn1:arm64	1.14.2-4+deb12u1
libsystemd0:arm64	252.39-1~deb12u2
libtasn1-6:arm64	4.19.0-2+deb12u1
libthai-data	0.1.29-1
libthai0:arm64	0.1.29-1
libtiff-dev:arm64	4.5.0-6+deb12u4
libtiff6:arm64	4.5.0-6+deb12u4
libtiffxx6:arm64	4.5.0-6+deb12u4
libtinfo6:arm64	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev:arm64	1.3.3+ds-1
libtirpc3:arm64	1.3.3+ds-1
libtool	2.4.7-7~deb12u1
libtsan2:arm64	12.2.0-14+deb12u1
libubsan1:arm64	12.2.0-14+deb12u1
libudev1:arm64	252.39-1~deb12u2
libunistring2:arm64	1.0-2
libutf8proc2:arm64	2.8.0-1
libuuid1:arm64	2.38.1-5+deb12u3
libuv1:arm64	1.44.2-1+deb12u1
libwebp-dev:arm64	1.2.4-0.2+deb12u1
libwebp7:arm64	1.2.4-0.2+deb12u1
libwebpdemux2:arm64	1.2.4-0.2+deb12u1
libwebpmux3:arm64	1.2.4-0.2+deb12u1
libwmf-0.2-7:arm64	0.2.12-5.1
libwmf-dev	0.2.12-5.1
libwmflite-0.2-7:arm64	0.2.12-5.1
libx11-6:arm64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-dev:arm64	2:1.8.4-2+deb12u2
libx265-199:arm64	3.5-2+b1
libxau-dev:arm64	1:1.0.9-1
libxau6:arm64	1:1.0.9-1
libxcb-render0:arm64	1.15-1
libxcb-render0-dev:arm64	1.15-1
libxcb-shm0:arm64	1.15-1
libxcb-shm0-dev:arm64	1.15-1
libxcb1:arm64	1.15-1
libxcb1-dev:arm64	1.15-1
libxdmcp-dev:arm64	1:1.1.2-3
libxdmcp6:arm64	1:1.1.2-3
libxext-dev:arm64	2:1.3.4-1+b1
libxext6:arm64	2:1.3.4-1+b1
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6
libxml2-dev:arm64	2.9.14+dfsg-1.3~deb12u6
libxrender-dev:arm64	1:0.9.10-1.1
libxrender1:arm64	1:0.9.10-1.1
libxslt1-dev:arm64	1.1.35-1+deb12u4
libxslt1.1:arm64	1.1.35-1+deb12u4
libxt-dev:arm64	1:1.2.1-1.1
libxt6:arm64	1:1.2.1-1.1
libxxhash0:arm64	0.8.1-1
libyaml-0-2:arm64	0.2.5-1
libyaml-dev:arm64	0.2.5-1
libz3-4:arm64	4.8.12-3.1
libzstd-dev:arm64	1.5.4+dfsg2-5
libzstd1:arm64	1.5.4+dfsg2-5
linux-libc-dev:arm64	6.1.180-1
llvm-14-linker-tools	1:14.0.6-12
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
m4	1.4.19-3
make	4.3-4.1
mariadb-common	1:10.11.18-0+deb12u1
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mercurial	6.3.2-1+deb12u1
mercurial-common	6.3.2-1+deb12u1
mount	2.38.1-5+deb12u3
mysql-common	5.8+1.1.0
ncurses-base	6.4-4
ncurses-bin	6.4-4
netbase	6.4
openssh-client	1:9.2p1-2+deb12u10
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
patch	2.7.6-7
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
pinentry-curses	1.2.1-1
pkg-config:arm64	1.8.1-1
pkgconf:arm64	1.8.1-1
pkgconf-bin	1.8.1-1
procps	2:4.0.2-3
python3	3.11.2-1+b1
python3-distutils	3.11.2-3
python3-lib2to3	3.11.2-3
python3-minimal	3.11.2-1+b1
python3.11	3.11.2-6+deb12u8
python3.11-minimal	3.11.2-6+deb12u8
readline-common	8.2-1.3
ripgrep	13.0.0-4+b2
rpcsvc-proto	1.4.3-1
sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1
shared-mime-info	2.2-1
sq	0.27.0-2+b1
subversion	1.14.2-4+deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
unzip	6.0-28
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
uuid-dev:arm64	2.38.1-5+deb12u3
wget	1.21.3-1+deb12u1
x11-common	1:7.7+23
x11proto-core-dev	2022.1-1
x11proto-dev	2022.1-1
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
xz-utils	5.4.1-1+deb12u1
zlib1g:arm64	1:1.2.13.dfsg-1
zlib1g-dev:arm64	1:1.2.13.dfsg-1
